bill_id,primary sponsor,bill_title
SB 769,Munzlinger,Prohibits political subdivisions from enacting ordinances relating to the labeling or use of fertilizers or soil conditioners
SB 1011,Gary Romine,"Requires the Director of the Department of Natural Resources to sell at public auction property located in Oregon County by December 31, 2016"
HB 2563,"Lichtenegger, Donna",Establishes the Senior Services Growth and Development Program to provide additional funding for senior services
HB 2033,"Rowden, Caleb",Modifies provisions relating to the Small Business Regulatory Fairness Board and authorizes a tax credit for certain small businesses
HB 2560,"English, Keith",Establishes the Business Premises Safety Act
HB 2321,"Rowden, Caleb",Establishes the Missouri Advanced Industries Acceleration Act
SB 684,Wallingford,Specifies that courts must order an evaluation by the Division of Youth Services to determine whether dual jurisdiction is appropriate for certain juvenile offenders
SR 1449,Schaefer,Relating to ride to work day in Missouri
SB 903,Dixon,Modifies the state's requirements to reimburse counties for certain costs related to imprisonment and electronic monitoring for criminal offenders
SB 696,Sifton,Removes the statute of limitations on civil actions and prosecutions involving offenses against children
HB 2553,"Parkinson, Mark",Modifies provisions relating to metropolitan park and recreation districts and reporting requirements.
SB 860,Riddle,Allows the presiding judge of certain circuits to appoint a circuit court marshal
SB 570,Pearce,Modifies the provisions of law relating to campaign finance
SB 891,Schaefer,Requires the Attorney General to screen prison volunteers for terrorist proclivities and the Corrections Department to report on procedures to reduce radicalization
HB 2055,"Swan, Kathryn",Changes the laws regarding child custody arrangements
HB 1674,"Kelley, Mike","Authorizes a one-time income tax deduction to a taxpayer for the cost of the construction or $5,000, whichever is less, of a storm shelter that was made in Missouri"
HB 2241,"Dohrman, Dean",Requires coursework addressing the Bill of Rights in secondary schools and in college and university introductory courses in American government and American history
HB 2048,"LaFaver, Jeremy",Adopts an agreement to elect the president by national popular vote
HB 2179,"Rone, Don",Modifies provisions relating to membership qualifications for governing boards of public institutions of higher education
HB 1915,"Kidd, Bill","Establishes ""Simon's Law"" which changes the laws regarding life-sustaining or nonbeneficial treatment policies of health care facilities"
HB 1789,"Rone, Don",Changes the laws regarding public administrators to require the county to provide a staff if the public administrator handles at least fifty cases
HB 2312,"McNeil, Margo",Requires all electric and gas utilities to report annually the percentage of energy efficiency incentives used by low-income customers to the Division of Energy
HB 1968,"Anderson, Sonya",Changes the laws regarding consent for a minor to have an abortion
SB 721,Romine,Modifies the crime of animal trespass
HB 2139,"Rowden, Caleb",Specifies certain county hospitals may invest up to 15% of their funds in mutual funds
HB 1971,"Black, Linda",Imposes civil penalties for poaching certain animals
HB 2361,"Wiemann, John","Creates the ""Missouri Homeowners' Bill of Rights"", which is a regulatory scheme for homeowners' associations"
SB 902,Jason Holsman,Allows the Department of Revenue to issue REAL ID compliant driver's licenses and identification cards
SB 939,Schaefer,Creates the offense of terrorism
SB 992,Brown,Changes the effective date of the repeal and enactment of certain provisions of the Uniform Interstate Family Support Act
SB 689,Romine,Prohibits two-way telecommunications devices and their component parts in correctional centers and jails
SB 1013,Dixon,Modifies provisions relating to procedures in criminal proceedings
HB 1750,"Roden, Shane",Specifies that the Pledge of Allegiance must be recited at least once per school day in schools supported by public funds
HR 71,"Curtman, Paul",Strongly urges the U.S. Congress to pass the Federal Reserve Transparency Act to require a complete audit of the Federal Reserve Bank
HB 2299,"Burns, Bob",Authorizes a retail sales tax in St. Louis County to fund county law enforcement
HB 2542,"Korman, Bart",Modifies provisions to reflect the Division of Energy being placed under the Department of Economic Development
HCR 102,"Hubrecht, Tila",Urges Congress to prohibit federal programs that incentivize states to adopt certain academic standards
HB 2540,"Neely, Jim",Establishes a pilot program to transfer the authority to inspect nursing homes from the Department of Health and Senior Services to local health departments
HB 2536,"McCreery, Tracy",Establishes the Missouri Earned Family and Medical Leave Act
SB 787,Kraus,Modifies provisions relating to election challengers
HB 1846,"Franklin, Diane",Changes the laws regarding resident landowner hunting permits
HJR 94,"McNeil, Margo",Proposes a constitutional amendment guaranteeing children a right to an adequately and equitably funded public school
HB 2549,"Newman, Stacey","Prohibits persons from selling, delivering, or transferring to a person under 18 years of age firearm ammunition or accessories"
HB 1420,"Walker, Nate",Changes the laws regarding school employee retirement to reinstate a certain retirement allowance rate
HB 2363,"Rhoads, Shawn",Creates the offense of illegal reentry
HB 2550,"Burns, Bob",Changes the laws regarding public school retirement so that St. Louis members receive cost of living adjustments
HB 2529,"Ellington, Brandon",Requires election authorities to make available at least one electronic voting machine per polling location for blind or visually impaired voters at an election in order to comply with federal law.
SB 634,Sifton,Reauthorizes the Missouri Homestead Preservation tax credit program
HB 2525,"Bahr, Kurt",Establishes provisions that prohibit discrimination and pay or reimbursement disparity against chiropractors
HB 2530,"Curtman, Paul","Establishes the Corporate Welfare Elimination Act, which terminates corporate tax credits by placing a sunset on each credit"
HB 2532,"Hicks, Ron",Adds valid and unexpired nondriver’s licenses issued under the laws of any state or territory of the United States to the list of documents that qualify to establish proof of age for alcohol purchase or consumption.
HB 1826,"McGaugh, Joe Don",Authorizes an election authority to accept voter registration applications with electronic signatures under certain circumstances
